-2,-5,-2.0,1
-5,-10,-29.0,-2
-6,-13,-39.0,-4
-9,-18,-44.0,-5
-12,-21,-71.0,-7
-15,-18,-86.0,-9
-17,-26,-103.0,-10
-20,-34,-123.0,-8
-22,-34,-140.0,0
-25,-42,-162.0,-3
-26,-45,-177.0,-6
-28,-53,-199.0,-8
-31,-56,-209.0,-10
-34,-61,-214.0,-13
-25,-64,-239.0,-15
-26,-54,-266.0,-16
-27,-57,-270.0,-17
-29,-60,-287.0,-17
-31,-62,-300.0,-19
-34,-62,-310.0,-21
-35,-65,-337.0,-20
-38,-58,-344.0,-21
-41,-56,-358.0,-23
-42,-64,-380.0,-25
-45,-57,-384.0,-26
-46,-60,-396.0,-28
-43,-65,-416.0,-29
-46,-68,-436.0,-28
-47,-73,-446.0,-29
-49,-76,-468.0,-32
-52,-66,-475.0,-34
-45,-66,-477.0,-35
-47,-71,-487.0,-38
-49,-76,-501.0,-37
-50,-84,-518.0,-35
-52,-87,-528.0,-37
-55,-90,-538.0,-35
-54,-95,-545.0,-38
-56,-98,-565.0,-39
-59,-103,-579.0,-42
-62,-111,-596.0,-44
-65,-119,-600.0,-47
-63,-124,-602.0,-50
-64,-126,-621.0,-53
-66,-121,-615.0,-54
-67,-123,-622.0,-57
-69,-128,-636.0,-60
-70,-123,-646.0,-62
-72,-131,-656.0,-63
-73,-139,-656.0,-60
-75,-141,-666.0,-61
-76,-146,-673.0,-62
-72,-146,-690.0,-65
-70,-151,-700.0,-68
-71,-156,-694.0,-60
-69,-159,-724.0,-63
-72,-167,-734.0,-64
-75,-170,-756.0,-63
-76,-178,-768.0,-66
-76,-186,-795.0,-69
-77,-176,-802.0,-72
-80,-178,-817.0,-73
-82,-183,-832.0,-75
-84,-188,-842.0,-77
-87,-193,-859.0,-78
-89,-198,-884.0,-80
-91,-203,-894.0,-72
-92,-211,-909.0,-73
-95,-216,-919.0,-76
-97,-219,-924.0,-79
-94,-224,-919.0,-81
-96,-224,-929.0,-84
-98,-227,-939.0,-87
-100,-230,-959.0,-88
-103,-233,-986.0,-91
-101,-236,-993.0,-93
-104,-236,-1000.0,-96
-105,-241,-1012.0,-94
-108,-244,-1022.0,-93
-109,-237,-1032.0,-95
-111,-240,-1042.0,-96
-112,-245,-1046.0,-99
-114,-250,-1056.0,-101
-115,-258,-1066.0,-104
-116,-263,-1086.0,-102
-119,-266,-1106.0,-101
-122,-274,-1113.0,-102
-123,-282,-1130.0,-104
-124,-285,-1127.0,-107
-127,-280,-1141.0,-109
-130,-282,-1161.0,-111
-131,-287,-1161.0,-101
-132,-289,-1181.0,-103
-133,-294,-1191.0,-104
-136,-297,-1201.0,-105
-137,-290,-1221.0,-106
-139,-298,-1221.0,-107
-136,-301,-1234.0,-108
-137,-301,-1236.0,-110
-130,-301,-1241.0,-111
-132,-306,-1236.0,-112
-133,-309,-1266.0,-114
-135,-312,-1273.0,-116
-137,-320,-1283.0,-114
-137,-325,-1290.0,-116
